Agio,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Agio,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Airfill Prepaid AB (Bitrefill),"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik"
Alecta,"Heltidsjob, Examensarbeten"
Applicon (Application Consulting Sweden AB),Traineeprogram
Ark Kapital,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Arriver,"Heltidsjob, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Atlas Copco Industrial Technique AB,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik"
AVL MTC Motortestcenter AB,"Heltidsjob, Examensarbeten"
Basalt AB,"Heltidsjob, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Bestla Health AB / momentus.se,"Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons), att skapa digitala lösningar som gör vården och mammors hälsa bättre"
Bonnier News,Traineeprogram
Bontouch,"Heltidsjob, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Capgemini Engineering,"Heltidsjob, Deltidsjobb, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Carmenta Geospatial Technologies AB,"Heltidsjob, Examensarbeten"
Challengermode,"Heltidsjob, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Charge Amps,"Heltidsjob, Sommarjobb, Examensarbeten"
Columbia Road,"Heltidsjob, Deltidsjobb, Sommarjobb, Sociala event (t.ex. AW; workshops; hackathons)"
COMSOL AB,"Heltidsjob, Deltidsjobb, Sommarjobb"
Conversionista AB,"Heltidsjob, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Decerno,"Sommarjobb, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
Devoteam Sweden,"Heltidsjob, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Digital Edge,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten"
Digpro Solutions AB,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik"
EF Education First,"Heltidsjob, Sommarjobb, Traineeprogram"
Elvenite,"Heltidsjob, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Embark Studios,"Heltidsjob, Internships/Praktik"
Enfo,"Heltidsjob, Deltidsjobb, Internships/Praktik"
EQT AB,"Heltidsjob, Examensarbeten"
Eurostep AB,"Heltidsjob, Examensarbeten"
EY,"Heltidsjob, Sommarjobb, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
Findwise Tietoevry,"Heltidsjob, Deltidsjobb, Examensarbeten"
"Flygresor,se","Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik"
Försvarsmakten,Heltidsjob
FRA,Heltidsjob
Hemnet AB,"Heltidsjob, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
HiQ,"Heltidsjob, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Ida Infront,"Heltidsjob, Sommarjobb, Examensarbeten, Traineeprogram"
Keyfactor / Primekey Solutions AB,"Deltidsjobb, Examensarbeten, Internships/Praktik"
Megger,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten"
Metricio AB,"Heltidsjob, Deltidsjobb, Sommarjobb, Sociala event (t.ex. AW; workshops; hackathons)"
Milkywire AB,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
mnemonic AB,"Heltidsjob, Sociala event (t.ex. AW; workshops; hackathons)"
Modular Finance AB,"Heltidsjob, Sommarjobb, Sociala event (t.ex. AW; workshops; hackathons)"
MSAB (Micro Systemations AB),"Heltidsjob, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Nasdaq,"Heltidsjob, Deltidsjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Net Insight AB,"Heltidsjob, Deltidsjobb, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Netlight Consulting AB,"Heltidsjob, Sociala event (t.ex. AW; workshops; hackathons)"
Nexer Tech Talent AB,"Heltidsjob, Traineeprogram"
Norconsult Astando AB,"Heltidsjob, Deltidsjobb, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
Nordnet Bank AB,"Heltidsjob, Sommarjobb, Examensarbeten"
Omegapoint,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
OMICRON,"Heltidsjob, Examensarbeten"
Oracle,"Heltidsjob, Examensarbeten"
Polismyndigheten,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Populum.io,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Prevas AB,"Heltidsjob, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
Random Forest AB,"Heltidsjob, Examensarbeten, Traineeprogram"
Saab AB,"Heltidsjob, Sommarjobb, Examensarbeten"
Säkerhetspolisen,"Heltidsjob, Examensarbeten, Traineeprogram"
Sana Labs AB,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
SAVR AB,"Deltidsjobb, Internships/Praktik"
Scania CV,"Heltidsjob, Sommarjobb, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Scila,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Sellpy,"Heltidsjob, Sommarjobb"
Sentor,"Heltidsjob, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Skatteverket,"Heltidsjob, Traineeprogram"
Söderberg & Partners,"Heltidsjob, Deltidsjobb"
SoftOne Sverige AB,"Heltidsjob, Deltidsjobb, Examensarbeten"
Softronic AB,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Sogeti,"Heltidsjob, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Sopra Steria,"Heltidsjob, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Storykit AB,"Heltidsjob, Sommarjobb, Examensarbeten"
Subset AB,"Heltidsjob, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
Svenska kraftnät,"Heltidsjob, Sommarjobb, Examensarbeten, Traineeprogram"
SVT,"Examensarbeten, Internships/Praktik"
Sweco Sverige AB,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Swedbank,Heltidsjob
Syntronic,"Heltidsjob, Examensarbeten"
Tietoevry,"Heltidsjob, Sommarjobb, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Tradera Marketplace AB,"Heltidsjob, Deltidsjobb, Examensarbeten, Internships/Praktik"
Trafikverket IKT,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Treasury Systems Sweden AB,"Heltidsjob, Sommarjobb, Examensarbeten"
UNIONEN,"Fackligt medlemsskap i UNIONEN som innehåller bl.a yrkesrådgivning, Lönerådgivning, CV granskning och mycket mer."
Valcon AB,"Heltidsjob, Deltidsjobb"
Vermiculus Financial Technology,"Heltidsjob, Sommarjobb, Examensarbeten"
Visma,"Heltidsjob, Sommarjobb, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
XLENT AB,"Heltidsjob, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
YABS,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Zwapgrid AB,"Heltidsjob, Deltidsjobb, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
